event_date,singups,paidmedia_offline_spend,paidmedia_online_spend,holiday
2015-01-22,7636,,270201.78,
2015-01-23,8516,,279404.28,
2015-01-24,8290,,258945.71,
2015-01-25,6930,,241846.42,
2015-01-26,6453,,283027.37,
2015-01-27,6570,,298945.98,
2015-01-28,8092,,407163.78,
2015-01-29,8918,,424406.3,
2015-01-30,8760,,379733.87,
2015-01-31,8061,,312114.87,
2015-02-01,6446,,233030.58,
2015-02-02,6570,,306587.52,
2015-02-03,7244,,325938.31,
2015-02-04,8889,,398541.57,
2015-02-05,9248,,431708.87,
2015-02-06,9389,,381909.61,
2015-02-07,8729,,313947.31,
2015-02-08,7803,,294742.3,
2015-02-09,9263,,398502.78,
2015-02-10,9917,,394444.7,
2015-02-11,10092,,379325.38,
2015-02-12,9632,,367879.55,
2015-02-13,10338,,352401.52,
2015-02-14,8968,,259055.64,ValentinesDay
2015-02-15,6737,,224988.43,
2015-02-16,6732,,278771.3,
2015-02-17,6650,,249660.16,
2015-02-18,7132,,247469.95,
2015-02-19,7875,,249102.12,
2015-02-20,8153,,230958.27,
2015-02-21,7569,,199157.66,
2015-02-22,6522,,192712.75,
2015-02-23,6434,,231717.52,
2015-02-24,6628,,235071.79,
2015-02-25,7164,,228608.17,
2015-02-26,7553,,229796.87,
2015-02-27,8251,,205689.68,
2015-02-28,7782,,187334.65,
2015-03-01,7482,,197014.02,
2015-03-02,7201,,232513.71,
2015-03-03,6907,,228457.32,
2015-03-04,7967,,326481.31,
2015-03-05,9065,,359201.25,
2015-03-06,8605,,287679,
2015-03-07,6811,,175013.59,
2015-03-08,6230,,162437.33,
2015-03-09,6645,,207643.48,
2015-03-10,6418,,222550.92,
2015-03-11,5614,,217656.68,
2015-03-12,7310,,231632.32,
2015-03-13,7741,,243174.71,
2015-03-14,6912,,182718,
2015-03-15,6229,,182203.1,
2015-03-16,6273,,226236.38,
2015-03-17,5711,,230896.45,
2015-03-18,6353,,256331.67,
2015-03-19,6672,,263236.12,
2015-03-20,7029,,267830.45,
2015-03-21,6701,,229011.71,
2015-03-22,6341,,298234.29,
2015-03-23,7255,,369481.65,
2015-03-24,7369,,423874.42,
2015-03-25,6996,,400927.75,
2015-03-26,7179,,275358.28,
2015-03-27,7305,,291004.17,
2015-03-28,6966,,266112.31,
2015-03-29,6806,,314270.49,PalmSunday
2015-03-30,7722,,431272.38,
2015-03-31,8210,,443865.97,
2015-04-01,6887,,294343.12,WendesdayBeforeEaster
2015-04-02,6526,,277480.52,MaundyThursday
2015-04-03,6946,,283877.55,GoodFriday
2015-04-04,5960,,327732.22,
2015-04-05,4489,,169442.57,EasterSunday
2015-04-06,5754,,258440.23,EasterMonday
2015-04-07,6333,,247661.43,TuesdayAfterEaster
2015-04-08,6680,,258720.42,
2015-04-09,6814,,263026.54,
2015-04-10,7054,,262463.09,
2015-04-11,6954,,307974.63,
2015-04-12,6413,,235762.06,
2015-04-13,6271,,247490.78,
2015-04-14,5786,,219333.91,
2015-04-15,6617,,241677.02,
2015-04-16,7070,,243865.71,
2015-04-17,7606,,293053.86,
2015-04-18,6340,,230254.57,
2015-04-19,5793,,209401.08,
